,-1085.6939503914625,99.6339008875917
2007/12/14/afternoon,22.6466538545621,25.511637410282525
2007/12/17/morning,-100.79378523609327,25.11286364248849
2007/12/17/afternoon,13394.160857359391,4355.672155568077
2007/12/18/morning,47.79821675775215,22.550340704966764
2007/12/18/afternoon,20.170000843023576,-134.48835531687814
2007/12/19/morning,-225.58615794950322,53.63893013579545
2007/12/19/afternoon,22.327114903360552,-48.473584777179525
2007/12/20/morning,62.40807398907718,86.44295519659542
2007/12/20/afternoon,33.182265080782216,-110.83322636494405
2007/12/21/morning,-43.904075112778884,9.193198163919533
2007/12/21/afternoon,-180.1206819233825,16.648778929929676
2007/12/25/morning,18.148024001135468,-306.4118723807486
2007/12/25/afternoon,Infinity,Infinity
2007/12/26/morning,37.584257970784165,-452.38857045402284
2007/12/26/afternoon,Infinity,Infinity
2007/12/27/morning,Infinity,Infinity
2007/12/27/afternoon,90.3225818200375,172.00194533503267
2007/12/28/morning,Infinity,Infinity
